epoch,timestamp,operations,operations-delta,operations/second
1616751397.153,26/03/2021 12:36:37,2296227,24372,24372
1616751398.153,26/03/2021 12:36:38,2320412,24185,24185
1616751399.153,26/03/2021 12:36:39,2344577,24165,24165
1616751400.153,26/03/2021 12:36:40,2369193,24616,24616
1616751401.154,26/03/2021 12:36:41,2393466,24273,24248.751
1616751402.154,26/03/2021 12:36:42,2417856,24390,24390
1616751403.154,26/03/2021 12:36:43,2441910,24054,24054
1616751404.154,26/03/2021 12:36:44,2466238,24328,24328
1616751405.154,26/03/2021 12:36:45,2490368,24130,24130
1616751406.154,26/03/2021 12:36:46,2514497,24129,24129
1616751407.154,26/03/2021 12:36:47,2538828,24331,24331
1616751408.154,26/03/2021 12:36:48,2562463,23635,23635
1616751409.154,26/03/2021 12:36:49,2586412,23949,23949
1616751410.155,26/03/2021 12:36:50,2610386,23974,23950.05
1616751411.155,26/03/2021 12:36:51,2634409,24023,24023
1616751412.155,26/03/2021 12:36:52,2658553,24144,24144
1616751413.155,26/03/2021 12:36:53,2682531,23978,23978
1616751414.155,26/03/2021 12:36:54,2706185,23654,23654
1616751415.156,26/03/2021 12:36:55,2729977,23792,23768.232
1616751416.156,26/03/2021 12:36:56,2753656,23679,23679
1616751417.156,26/03/2021 12:36:57,2777281,23625,23625
1616751418.156,26/03/2021 12:36:58,2801322,24041,24041
1616751419.156,26/03/2021 12:36:59,2825052,23730,23730
1616751420.157,26/03/2021 12:37:00,2849209,24157,24132.867
1616751421.157,26/03/2021 12:37:01,2872712,23503,23503
1616751422.157,26/03/2021 12:37:02,2897046,24334,24334
1616751423.157,26/03/2021 12:37:03,2921507,24461,24461
1616751424.157,26/03/2021 12:37:04,2945460,23953,23953
1616751425.157,26/03/2021 12:37:05,2969649,24189,24189
1616751426.157,26/03/2021 12:37:06,2993611,23962,23962
1616751427.157,26/03/2021 12:37:07,3017662,24051,24051
1616751428.157,26/03/2021 12:37:08,3041778,24116,24116
1616751429.157,26/03/2021 12:37:09,3065938,24160,24160
1616751430.158,26/03/2021 12:37:10,3090039,24101,24076.923
1616751431.158,26/03/2021 12:37:11,3114092,24053,24053
1616751432.158,26/03/2021 12:37:12,3138164,24072,24072
1616751433.158,26/03/2021 12:37:13,3162165,24001,24001
1616751434.158,26/03/2021 12:37:14,3186061,23896,23896
1616751435.158,26/03/2021 12:37:15,3209734,23673,23673
1616751436.158,26/03/2021 12:37:16,3233743,24009,24009
1616751437.158,26/03/2021 12:37:17,3257844,24101,24101
1616751438.159,26/03/2021 12:37:18,3282197,24353,24328.671
1616751439.159,26/03/2021 12:37:19,3306473,24276,24276
1616751440.159,26/03/2021 12:37:20,3330178,23705,23705
1616751441.159,26/03/2021 12:37:21,3354382,24204,24204
1616751442.159,26/03/2021 12:37:22,3378072,23690,23690
1616751443.159,26/03/2021 12:37:23,3402473,24401,24401
1616751444.159,26/03/2021 12:37:24,3426796,24323,24323
1616751445.159,26/03/2021 12:37:25,3450969,24173,24173
1616751446.16,26/03/2021 12:37:26,3474417,23448,23424.575
1616751447.16,26/03/2021 12:37:27,3499025,24608,24608
1616751448.16,26/03/2021 12:37:28,3523278,24253,24253
1616751449.16,26/03/2021 12:37:29,3547851,24573,24573
1616751450.16,26/03/2021 12:37:30,3572252,24401,24401
1616751451.16,26/03/2021 12:37:31,3596879,24627,24627
1616751452.16,26/03/2021 12:37:32,3620971,24092,24092
