epoch,timestamp,operations,operations-delta,operations/second
1616769405.321,26/03/2021 17:36:45,285104,3001,3001
1616769406.321,26/03/2021 17:36:46,288104,3000,3000
1616769407.321,26/03/2021 17:36:47,291104,3000,3000
1616769408.321,26/03/2021 17:36:48,294105,3001,3001
1616769409.321,26/03/2021 17:36:49,297105,3000,3000
1616769410.321,26/03/2021 17:36:50,300105,3000,3000
1616769411.322,26/03/2021 17:36:51,303105,3000,2997.003
1616769412.322,26/03/2021 17:36:52,306105,3000,3000
1616769413.322,26/03/2021 17:36:53,309105,3000,3000
1616769414.322,26/03/2021 17:36:54,312105,3000,3000
1616769415.322,26/03/2021 17:36:55,315105,3000,3000
1616769416.322,26/03/2021 17:36:56,318107,3002,3002
1616769417.322,26/03/2021 17:36:57,321108,3001,3001
1616769418.322,26/03/2021 17:36:58,324109,3001,3001
1616769419.323,26/03/2021 17:36:59,327109,3000,2997.003
1616769420.323,26/03/2021 17:37:00,330109,3000,3000
1616769421.323,26/03/2021 17:37:01,333109,3000,3000
1616769422.323,26/03/2021 17:37:02,336109,3000,3000
1616769423.323,26/03/2021 17:37:03,339109,3000,3000
1616769424.323,26/03/2021 17:37:04,342109,3000,3000
1616769425.323,26/03/2021 17:37:05,345110,3001,3001
1616769426.323,26/03/2021 17:37:06,348111,3001,3001
1616769427.323,26/03/2021 17:37:07,351112,3001,3001
1616769428.324,26/03/2021 17:37:08,354112,3000,2997.003
1616769429.324,26/03/2021 17:37:09,357112,3000,3000
1616769430.324,26/03/2021 17:37:10,360112,3000,3000
1616769431.324,26/03/2021 17:37:11,363113,3001,3001
1616769432.324,26/03/2021 17:37:12,366114,3001,3001
1616769433.324,26/03/2021 17:37:13,369113,2999,2999
1616769434.324,26/03/2021 17:37:14,372114,3001,3001
1616769435.324,26/03/2021 17:37:15,375114,3000,3000
1616769436.324,26/03/2021 17:37:16,378115,3001,3001
1616769437.325,26/03/2021 17:37:17,381115,3000,2997.003
1616769438.325,26/03/2021 17:37:18,384115,3000,3000
1616769439.325,26/03/2021 17:37:19,387115,3000,3000
1616769440.325,26/03/2021 17:37:20,390115,3000,3000
1616769441.325,26/03/2021 17:37:21,393115,3000,3000
1616769442.325,26/03/2021 17:37:22,396115,3000,3000
1616769443.325,26/03/2021 17:37:23,399116,3001,3001
1616769444.325,26/03/2021 17:37:24,402117,3001,3001
1616769445.326,26/03/2021 17:37:25,405117,3000,2997.003
1616769446.326,26/03/2021 17:37:26,408118,3001,3001
1616769447.326,26/03/2021 17:37:27,411119,3001,3001
1616769448.326,26/03/2021 17:37:28,414119,3000,3000
1616769449.326,26/03/2021 17:37:29,417119,3000,3000
1616769450.326,26/03/2021 17:37:30,420119,3000,3000
1616769451.326,26/03/2021 17:37:31,423119,3000,3000
1616769452.326,26/03/2021 17:37:32,426121,3002,3002
1616769453.326,26/03/2021 17:37:33,429121,3000,3000
1616769454.327,26/03/2021 17:37:34,432122,3001,2998.002
1616769455.327,26/03/2021 17:37:35,435122,3000,3000
1616769456.327,26/03/2021 17:37:36,438122,3000,3000
1616769457.327,26/03/2021 17:37:37,441122,3000,3000
1616769458.327,26/03/2021 17:37:38,444122,3000,3000
1616769459.327,26/03/2021 17:37:39,447123,3001,3001
1616769460.327,26/03/2021 17:37:40,450122,2999,2999
1616769461.327,26/03/2021 17:37:41,453124,3002,3002
1616769462.328,26/03/2021 17:37:42,456124,3000,2997.003
1616769463.328,26/03/2021 17:37:43,459124,3000,3000
1616769464.328,26/03/2021 17:37:44,462124,3000,3000
1616769465.328,26/03/2021 17:37:45,465125,3001,3001
1616769466.328,26/03/2021 17:37:46,468125,3000,3000
1616769467.328,26/03/2021 17:37:47,471125,3000,3000
1616769468.328,26/03/2021 17:37:48,474125,3000,3000
1616769469.328,26/03/2021 17:37:49,477125,3000,3000
1616769470.328,26/03/2021 17:37:50,480125,3000,3000
1616769471.329,26/03/2021 17:37:51,483126,3001,2998.002
1616769472.329,26/03/2021 17:37:52,486127,3001,3001
1616769473.329,26/03/2021 17:37:53,489127,3000,3000
1616769474.329,26/03/2021 17:37:54,492128,3001,3001
1616769475.329,26/03/2021 17:37:55,495128,3000,3000
1616769476.329,26/03/2021 17:37:56,498129,3001,3001
1616769477.329,26/03/2021 17:37:57,501129,3000,3000
1616769478.329,26/03/2021 17:37:58,504129,3000,3000
1616769479.33,26/03/2021 17:37:59,507129,3000,2997.003
1616769480.33,26/03/2021 17:38:00,510129,3000,3000
1616769481.33,26/03/2021 17:38:01,513131,3002,3002
1616769482.33,26/03/2021 17:38:02,516131,3000,3000
1616769483.33,26/03/2021 17:38:03,519132,3001,3001
1616769484.33,26/03/2021 17:38:04,522132,3000,3000
1616769485.33,26/03/2021 17:38:05,525131,2999,2999
1616769486.33,26/03/2021 17:38:06,528132,3001,3001
1616769487.33,26/03/2021 17:38:07,531132,3000,3000
1616769488.33,26/03/2021 17:38:08,534132,3000,3000
1616769489.331,26/03/2021 17:38:09,537134,3002,2999.001
1616769490.331,26/03/2021 17:38:10,540134,3000,3000
1616769491.331,26/03/2021 17:38:11,543134,3000,3000
1616769492.331,26/03/2021 17:38:12,546134,3000,3000
1616769493.331,26/03/2021 17:38:13,549135,3001,3001
1616769494.331,26/03/2021 17:38:14,552135,3000,3000
1616769495.331,26/03/2021 17:38:15,555035,2900,2900
1616769496.332,26/03/2021 17:38:16,558135,3100,3096.903
1616769497.332,26/03/2021 17:38:17,561135,3000,3000
1616769498.332,26/03/2021 17:38:18,564135,3000,3000
1616769499.332,26/03/2021 17:38:19,567137,3002,3002
1616769500.332,26/03/2021 17:38:20,570137,3000,3000
1616769501.332,26/03/2021 17:38:21,573137,3000,3000
1616769502.332,26/03/2021 17:38:22,576137,3000,3000
1616769503.332,26/03/2021 17:38:23,579138,3001,3001
1616769504.332,26/03/2021 17:38:24,582138,3000,3000
1616769505.333,26/03/2021 17:38:25,585139,3001,2998.002
1616769506.333,26/03/2021 17:38:26,588139,3000,3000
1616769507.333,26/03/2021 17:38:27,591139,3000,3000
1616769508.333,26/03/2021 17:38:28,594140,3001,3001
1616769509.333,26/03/2021 17:38:29,597140,3000,3000
1616769510.333,26/03/2021 17:38:30,600141,3001,3001
1616769511.333,26/03/2021 17:38:31,603141,3000,3000
1616769512.333,26/03/2021 17:38:32,606142,3001,3001
1616769513.333,26/03/2021 17:38:33,609142,3000,3000
1616769514.334,26/03/2021 17:38:34,612142,3000,2997.003
1616769515.334,26/03/2021 17:38:35,615142,3000,3000
1616769516.334,26/03/2021 17:38:36,618142,3000,3000
1616769517.334,26/03/2021 17:38:37,621144,3002,3002
1616769518.334,26/03/2021 17:38:38,624144,3000,3000
1616769519.334,26/03/2021 17:38:39,627144,3000,3000
1616769520.334,26/03/2021 17:38:40,630144,3000,3000
1616769521.334,26/03/2021 17:38:41,633145,3001,3001
1616769522.334,26/03/2021 17:38:42,636145,3000,3000
1616769523.335,26/03/2021 17:38:43,639145,3000,2997.003
1616769524.335,26/03/2021 17:38:44,642145,3000,3000
1616769525.335,26/03/2021 17:38:45,645145,3000,3000
1616769526.335,26/03/2021 17:38:46,648145,3000,3000
1616769527.335,26/03/2021 17:38:47,651145,3000,3000
1616769528.335,26/03/2021 17:38:48,654147,3002,3002
1616769529.335,26/03/2021 17:38:49,657147,3000,3000
1616769530.335,26/03/2021 17:38:50,660147,3000,3000
1616769531.335,26/03/2021 17:38:51,663147,3000,3000
1616769532.336,26/03/2021 17:38:52,666149,3002,2999.001
1616769533.336,26/03/2021 17:38:53,669149,3000,3000
1616769534.336,26/03/2021 17:38:54,672149,3000,3000
1616769535.336,26/03/2021 17:38:55,675149,3000,3000
1616769536.336,26/03/2021 17:38:56,678149,3000,3000
1616769537.336,26/03/2021 17:38:57,681149,3000,3000
1616769538.336,26/03/2021 17:38:58,684149,3000,3000
1616769539.336,26/03/2021 17:38:59,687150,3001,3001
1616769540.336,26/03/2021 17:39:00,690151,3001,3001
1616769541.336,26/03/2021 17:39:01,693151,3000,3000
1616769542.337,26/03/2021 17:39:02,696151,3000,2997.003
1616769543.337,26/03/2021 17:39:03,699152,3001,3001
1616769544.337,26/03/2021 17:39:04,702152,3000,3000
1616769545.337,26/03/2021 17:39:05,705152,3000,3000
1616769546.337,26/03/2021 17:39:06,708152,3000,3000
1616769547.337,26/03/2021 17:39:07,711152,3000,3000
1616769548.337,26/03/2021 17:39:08,714152,3000,3000
1616769549.337,26/03/2021 17:39:09,717154,3002,3002
1616769550.337,26/03/2021 17:39:10,720154,3000,3000
1616769551.338,26/03/2021 17:39:11,723154,3000,2997.003
1616769552.338,26/03/2021 17:39:12,726154,3000,3000
1616769553.338,26/03/2021 17:39:13,729155,3001,3001
1616769554.338,26/03/2021 17:39:14,732155,3000,3000
1616769555.338,26/03/2021 17:39:15,735155,3000,3000
1616769556.338,26/03/2021 17:39:16,738155,3000,3000
1616769557.338,26/03/2021 17:39:17,741155,3000,3000
1616769558.338,26/03/2021 17:39:18,744155,3000,3000
1616769559.338,26/03/2021 17:39:19,747156,3001,3001
1616769560.339,26/03/2021 17:39:20,750155,2999,2996.004
1616769561.339,26/03/2021 17:39:21,753157,3002,3002
1616769562.339,26/03/2021 17:39:22,756157,3000,3000
1616769563.339,26/03/2021 17:39:23,759157,3000,3000
1616769564.339,26/03/2021 17:39:24,762159,3002,3002
1616769565.339,26/03/2021 17:39:25,765159,3000,3000
1616769566.339,26/03/2021 17:39:26,768159,3000,3000
1616769567.339,26/03/2021 17:39:27,771159,3000,3000
1616769568.34,26/03/2021 17:39:28,774160,3001,2998.002
1616769569.34,26/03/2021 17:39:29,777160,3000,3000
1616769570.34,26/03/2021 17:39:30,780162,3002,3002
1616769571.34,26/03/2021 17:39:31,783161,2999,2999
1616769572.34,26/03/2021 17:39:32,786161,3000,3000
1616769573.34,26/03/2021 17:39:33,789162,3001,3001
1616769574.34,26/03/2021 17:39:34,792162,3000,3000
1616769575.34,26/03/2021 17:39:35,795162,3000,3000
1616769576.34,26/03/2021 17:39:36,798162,3000,3000
1616769577.341,26/03/2021 17:39:37,801164,3002,2999.001
1616769578.341,26/03/2021 17:39:38,804164,3000,3000
1616769579.341,26/03/2021 17:39:39,807164,3000,3000
1616769580.341,26/03/2021 17:39:40,810164,3000,3000
1616769581.341,26/03/2021 17:39:41,813165,3001,3001
1616769582.341,26/03/2021 17:39:42,816165,3000,3000
1616769583.341,26/03/2021 17:39:43,819165,3000,3000
1616769584.341,26/03/2021 17:39:44,822165,3000,3000
1616769585.341,26/03/2021 17:39:45,825165,3000,3000
1616769586.342,26/03/2021 17:39:46,828165,3000,2997.003
1616769587.342,26/03/2021 17:39:47,831165,3000,3000
1616769588.342,26/03/2021 17:39:48,834165,3000,3000
1616769589.342,26/03/2021 17:39:49,837166,3001,3001
1616769590.342,26/03/2021 17:39:50,840166,3000,3000
1616769591.342,26/03/2021 17:39:51,843168,3002,3002
1616769592.342,26/03/2021 17:39:52,846168,3000,3000
1616769593.342,26/03/2021 17:39:53,849169,3001,3001
1616769594.342,26/03/2021 17:39:54,852169,3000,3000
1616769595.342,26/03/2021 17:39:55,855169,3000,3000
1616769596.343,26/03/2021 17:39:56,858169,3000,2997.003
1616769597.343,26/03/2021 17:39:57,861172,3003,3003
1616769598.343,26/03/2021 17:39:58,864172,3000,3000
1616769599.343,26/03/2021 17:39:59,867172,3000,3000
1616769600.343,26/03/2021 17:40:00,870172,3000,3000
1616769601.343,26/03/2021 17:40:01,873172,3000,3000
1616769602.344,26/03/2021 17:40:02,876172,3000,2997.003
1616769603.344,26/03/2021 17:40:03,879172,3000,3000
1616769604.344,26/03/2021 17:40:04,882173,3001,3001
1616769605.344,26/03/2021 17:40:05,885173,3000,3000
1616769606.344,26/03/2021 17:40:06,888173,3000,3000
1616769607.344,26/03/2021 17:40:07,891174,3001,3001
1616769608.344,26/03/2021 17:40:08,894175,3001,3001
1616769609.344,26/03/2021 17:40:09,897175,3000,3000
